# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Cu,2,102.7830823,1.7e+08,C,3.25638920,15.31909404,5,5,,
Cu,2,103.6469217,1.01e+08,C,3.25638920,15.21855811,5,5,,
Cu,2,103.934743,2.0e+08,C,2.71881633,14.6478590,7,7,,
Cu,2,103.9581895,2.0e+08,C,2.83268156,14.75903379,5,5,,
Cu,2,104.451849,2.3e+08,C,2.71881633,14.5888023,7,9,,
Cu,2,104.4743170,4.8e+08,C,3.25638920,15.12382247,5,5,,
Cu,2,104.9363833,1.11e+08,C,2.83268156,14.6478590,5,7,,
Cu,2,104.9755242,1.04e+08,C,3.25638920,15.06716123,5,7,,
Cu,2,105.015339,1.4e+08,C,2.83268156,14.6389757,5,3,,
Cu,2,105.040243,8.2e+07,C,2.71881633,14.5223113,7,5,,
Cu,2,105.2174562,7.3e+07,C,2.97541889,14.75903379,3,5,,
Cu,2,105.4689891,2.1e+08,C,3.25638920,15.01190137,5,7,,
Cu,2,105.579644,2.1e+08,C,2.71881633,14.4620079,7,7,,
Cu,2,105.6954368,4.0e+08,C,3.25638920,14.98671572,5,5,,
Cu,2,105.879854,1.9e+08,C,2.71881633,14.4287114,7,7,,
Cu,2,106.063409,3.0e+08,C,2.83268156,14.5223113,5,5,,
Cu,2,106.300505,4.2e+08,C,2.97541889,14.6389757,3,3,,
Cu,2,106.919523,1.03e+08,C,2.83268156,14.4287114,5,7,,
Cu,2,107.374516,1.5e+08,C,2.97541889,14.5223113,3,5,,
Cu,2,135.87729,3.3e+08,C+,0.0000000,9.12471804,1,3,,
Cu,2,136.79509,8.3e+07,C+,0.0000000,9.06349793,1,3,,
Cu,2,147.23950,8.e+06,E,0.0000000,8.42057990,1,3,,
Cu,2,149.283423,5.5e+08,D+,9.0166042,17.3218932,5,5,,
Cu,2,151.449222,4.8e+08,D+,8.64228154,16.8288009,9,7,,
Cu,2,153.213042,1.0e+09,D+,8.8687809,16.9610553,7,5,,
Cu,2,153.755884,1.4e+09,D+,8.64228154,16.7059859,9,9,,
Cu,2,154.058814,9.e+08,D+,8.8687809,16.9166293,7,7,,
Cu,2,154.175580,1.4e+09,D+,10.5868585,18.6286118,5,5,,
Cu,2,154.84165,1.0e+09,D+,10.9554919,18.962653,5,5,,
Cu,2,155.065296,7.3e+08,D+,9.0166042,17.0122164,5,5,,
Cu,2,155.264631,1.9e+09,D+,8.64228154,16.6276287,9,11,,
Cu,2,155.389596,1.4e+09,D+,9.0166042,16.9955295,5,7,,
Cu,2,155.513425,1.3e+09,D+,8.8687809,16.84135293,7,9,,
Cu,2,155.570295,6.8e+08,D+,8.64228154,16.6119391,9,7,,
Cu,2,168.31596,1.1e+08,C,8.64228154,16.0084397,9,7,,
Cu,2,174.45159,5.9e+07,C,8.8687809,15.9758644,7,5,,
Cu,2,179.06599,4.5e+07,C,9.0166042,15.9405430,5,3,,
Cu,2,192.067133,1.5e+07,C,8.23486741,14.69012064,5,7,,
Cu,2,192.975129,2.1e+07,C,8.64228154,15.06716123,9,7,,
Cu,2,194.459601,1.99e+07,C+,2.71881633,9.09464957,7,5,,
Cu,2,196.801129,1.8e+07,C,8.23486741,14.53484133,5,3,,
Cu,2,197.049395,5.3e+06,C+,2.83268156,9.12471804,5,3,,
Cu,2,197.995579,9.6e+07,C+,2.83268156,9.09464957,5,5,,
Cu,2,198.985480,9.8e+07,C+,2.83268156,9.06349793,5,3,,
Cu,2,199.018009,1.3e+08,C,8.42057990,14.65037786,3,5,,
Cu,2,199.953361,5.8e+07,C,8.42057990,14.62123579,3,3,,
Cu,2,199.969754,2.13e+08,B,2.71881633,8.91695547,7,7,,
Cu,2,201.298041,2.5e+08,C,8.23486741,14.39211349,5,7,,
Cu,2,201.558222,2.1e+07,C+,2.97541889,9.12471804,3,3,,
Cu,2,201.689673,8.1e+06,C+,2.71881633,8.86410828,7,5,,
Cu,2,202.219147,1.14e+07,C+,8.48643755,14.61564148,7,9,,
Cu,1,202.43252,9.8e+06,B,0.0000000,6.1227444,2,2,,
Cu,1,202.43383,9.8e+06,B,0.0000000,6.1227049,2,4,,
Cu,2,202.548775,6.8e+07,C+,2.97541889,9.09464957,3,5,,
Cu,2,202.713416,1.3e+08,C,8.42057990,14.53484133,3,3,,
Cu,2,202.994908,8.0e+07,B,8.23486741,14.34065139,5,3,,
Cu,2,203.103598,4.5e+08,B,8.23486741,14.33738437,5,5,,
Cu,2,203.384242,8.9e+06,C+,8.52154401,14.61564148,9,9,,
Cu,2,203.585327,3.7e+08,C+,2.97541889,9.06349793,3,3,,
