#element,sp_num,g,Level(eV),Uncertainty(eV)
Al,1,2,0.00000000,
Al,1,4,0.01389380,
Al,1,2,3.14272120,
Al,1,2,3.59807200,
Al,1,4,3.60384400,
Al,1,6,3.61324400,
Al,1,4,4.02148360,
Al,1,6,4.02165020,
Al,1,2,4.08525540,
Al,1,4,4.08721830,
Al,1,2,4.67289090,
Al,1,4,4.82663210,
Al,1,6,4.82719680,
Al,1,2,4.99308890,
Al,1,4,4.99382100,
Al,1,6,5.12295140,
Al,1,8,5.12295240,
Al,1,2,5.22524100,
Al,1,4,5.23631660,
Al,1,6,5.23681770,
Al,1,2,5.37285820,
Al,1,4,5.37321340,
Al,1,6,5.43436390,
Al,1,8,5.43436440,
Al,1,8,5.43989960,
Al,1,10,5.43989960,
Al,1,4,5.47593550,
Al,1,6,5.47623910,
Al,1,2,5.48916890,
Al,1,2,5.56932880,
Al,1,4,5.56952980,
Al,1,8,5.60342630,
Al,1,6,5.60342630,
Al,1,10,5.60677850,
Al,1,8,5.60677850,
Al,1,4,5.62196000,
Al,1,6,5.62213710,
Al,1,2,5.63598000,
Al,1,6,5.70522890,
Al,1,8,5.70522890,
Al,1,8,5.70739820,
Al,1,10,5.70739820,
Al,1,12,5.70787210,
Al,1,10,5.70787210,
Al,1,4,5.71485620,
Al,1,6,5.71496630,
Al,1,2,5.72607320,
Al,1,8,5.77120930,
Al,1,6,5.77120930,
Al,1,4,5.77683500,
Al,1,6,5.77691400,
Al,1,2,5.78534200,
Al,1,6,5.81639400,
Al,1,8,5.81639400,
Al,1,4,5.81993900,
Al,1,6,5.82001000,
Al,1,2,5.82640300,
Al,1,6,5.84867800,
Al,1,8,5.84867800,
Al,1,6,5.85110900,
Al,1,4,5.85110900,
Al,1,2,5.85602200,
Al,1,6,5.87433000,
Al,1,4,5.87433000,
Al,1,2,5.87808700,
Al,1,6,5.89187000,
Al,1,4,5.89187000,
Al,1,2,5.89496800,
Al,1,6,5.90569000,
Al,1,4,5.90569000,
Al,1,2,5.90816700,
Al,1,6,5.91669000,
Al,1,4,5.91669000,
Al,1,2,5.91868500,
Al,1,6,5.92558000,
Al,1,4,5.92558000,
Al,1,4,5.93276000,
Al,1,6,5.93276000,
Al,1,4,5.93886000,
Al,1,6,5.93886000,
Al,1,6,5.94389000,
Al,1,4,5.94389000,
Al,1,6,5.94815000,
Al,1,4,5.94815000,
Al,1,6,5.95182000,
Al,1,4,5.95182000,
Al,1,4,5.95510000,
Al,1,6,5.95510000,
Al,1,6,5.95760000,
Al,1,4,5.95760000,
Al,1,6,5.96000000,1.20000000E-02
Al,1,4,5.96000000,1.20000000E-02
Al,1,6,5.96200000,
Al,1,4,5.96200000,
Al,1,4,5.96390000,
Al,1,6,5.96390000,
Al,1,6,5.96550000,
Al,1,4,5.96550000,
Al,1,6,5.96700000,
Al,1,4,5.96700000,
Al,1,6,5.96820000,
Al,1,4,5.96820000,
Al,1,4,5.96950000,
Al,1,6,5.96950000,
Al,1,6,5.97050000,
Al,1,4,5.97050000,
Al,1,6,5.97150000,
Al,1,4,5.97150000,
