# element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,
Sn,2,101.62353,7.e+07,E,0.000000,12.2003442,2,2,,
Sn,2,104.071860,3.0e+08,D+,0.5271181,12.4404439,4,6,,
Sn,2,104.131287,6.e+07,E,0.5271181,12.4336451,4,4,,
Sn,2,106.212453,1.3e+08,E,0.5271181,12.2003442,4,2,,
Sn,2,110.81369,4.7e+08,B+,0.000000,11.1885267,2,4,,
Sn,2,115.90129,1.01e+08,C+,0.000000,10.6973961,2,2,,
Sn,2,116.143479,5.5e+08,B+,0.5271181,11.2022072,4,6,,
Sn,2,116.292511,1.28e+08,B+,0.5271181,11.1885267,4,4,,
Sn,2,121.908367,3.35e+08,B+,0.5271181,10.6973961,4,2,,
Sn,2,122.3716,4.08e+08,B+,0.000000,10.13178,2,4,,
Sn,2,124.2929,4.5e+08,B+,0.000000,9.97516,2,2,,
Sn,2,129.0875,2.95e+09,B+,0.5271181,10.13178,4,4,,
Sn,2,130.3912,9.e+08,D+,5.7608378,15.26947,2,4,,
Sn,2,131.2274,1.77e+09,B+,0.5271181,9.97516,4,2,,
Sn,2,131.3087,2.0e+09,D+,5.9968906,15.43908,4,2,,
Sn,2,131.6581,2.14e+09,B+,0.000000,9.41713,2,2,,
Sn,2,131.7914,1.3e+09,D+,5.9968906,15.404499,4,4,,
Sn,2,133.7105,1.3e+09,D+,5.9968906,15.26947,4,4,,
Sn,2,135.3848,3.6e+08,D+,7.2957486,16.45366,4,6,,
Sn,2,135.8695,1.9e+09,D+,5.7608378,14.88608,2,4,,
Sn,2,136.0233,3.3e+09,D+,5.7608378,14.87576,2,2,,
Sn,2,136.0259,7.5e+08,D+,6.2897462,15.404499,6,4,,
Sn,2,136.3798,3.6e+09,D+,7.2957486,16.38685,4,4,,
Sn,2,136.5295,3.4e+09,D+,7.3725320,16.45366,6,6,,
Sn,2,137.0652,2.1e+09,D+,6.2897462,15.33538,6,6,,
Sn,2,137.5415,1.8e+08,D+,7.3725320,16.38685,6,4,,
Sn,2,138.0712,2.3e+09,D+,6.2897462,15.26947,6,4,,
Sn,2,139.1103,2.3e+09,D+,5.9968906,14.90955,4,6,,
Sn,2,139.3509,3.1e+09,D+,6.2897462,15.18701,6,8,,
Sn,2,139.4646,7.e+06,E,0.5271181,9.41713,4,2,,
Sn,2,139.4776,1.0e+09,D+,5.9968906,14.88608,4,4,,
Sn,2,139.6396,2.4e+08,D+,5.9968906,14.87576,4,2,,
Sn,2,140.04398,2.05e+09,B+,0.000000,8.8532333,2,4,,
Sn,2,147.49966,1.95e+09,B+,0.5271181,8.9328458,4,6,,
Sn,2,148.91002,1.59e+08,B+,0.5271181,8.8532333,4,4,,
Sn,2,149.5036,1.1e+08,D+,5.9968906,14.28995,4,6,,
Sn,2,151.7967,4.4e+08,D+,5.9968906,14.164668,4,6,,
Sn,2,152.2235,8.3e+07,D+,6.2897462,14.43462,6,8,,
Sn,2,155.4896,4.0e+08,D+,5.7608378,13.73463,2,4,,
Sn,2,157.4418,7.2e+08,D+,6.2897462,14.164668,6,6,,
Sn,2,158.5077,6.2e+07,D+,6.2897462,14.11171,6,6,,
Sn,2,158.7571,1.5e+08,D+,5.7608378,13.57052,2,2,,
Sn,2,160.2331,1.1e+08,D+,5.9968906,13.73463,4,4,,
Sn,2,163.7052,6.6e+08,D+,5.9968906,13.57052,4,2,,
Sn,2,164.3266,1.4e+08,D+,5.9968906,13.54188,4,2,,
Sn,2,166.5361,3.8e+08,D+,6.2897462,13.73463,6,4,,
Sn,2,169.94034,2.99e+07,B+,0.000000,7.2957486,2,4,,
Sn,2,175.78906,3.04e+08,B+,0.000000,7.0530101,2,2,,
Sn,2,181.12009,6.4e+07,B+,0.5271181,7.3725320,4,6,,
Sn,2,183.17472,2.2e+07,C+,0.5271181,7.2957486,4,4,,
Sn,2,189.98812,5.6e+08,B+,0.5271181,7.0530101,4,2,,
