#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type
Al,2,104.78894000,2.33000000E+07,C,4.63614500,16.46794700,1,3,
Al,2,104.85583000,1.75000000E+07,D,4.64369300,16.46794700,3,3,
Al,2,104.85600000,3.14000000E+07,C,4.64369300,16.46792800,3,5,
Al,2,104.99221000,1.16000000E+06,E,4.65905200,16.46794700,5,3,
Al,2,104.99228000,4.17000000E+07,C+,4.65905200,16.46794000,5,7,
Al,2,104.99238000,1.04000000E+07,D,4.65905200,16.46792800,5,5,
Al,2,105.46022000,1.18000000E+07,D,4.63614500,16.39263490,1,3,
Al,2,105.52797000,3.53000000E+07,C,4.64369300,16.39263490,3,3,
Al,2,105.66611000,5.85000000E+07,C,4.65905200,16.39263490,5,3,
Al,2,116.98458000,8.37000000E+03,A+,0.00000000,10.59833700,1,5,E2
Al,2,118.91848000,8.29000000E+07,C+,4.63614500,15.06212760,1,3,
Al,2,119.00463000,6.22000000E+07,C,4.64369300,15.06212760,3,3,
Al,2,119.00510000,1.12000000E+08,C+,4.64369300,15.06208600,3,5,
Al,2,119.18033000,4.12000000E+06,D,4.65905200,15.06212760,5,3,
Al,2,119.18080000,3.70000000E+07,C,4.65905200,15.06208600,5,5,
Al,2,119.18140000,1.48000000E+08,C+,4.65905200,15.06203400,5,7,
Al,2,120.91915000,2.51000000E+07,C,4.63614500,14.88962430,1,3,
Al,2,121.00823000,7.47000000E+07,C+,4.64369300,14.88962430,3,3,
Al,2,121.18990000,1.24000000E+08,C+,4.65905200,14.88962430,5,3,
Al,2,125.88572000,1.02000000E+08,C+,7.42070500,17.26965400,3,5,
Al,2,135.01773000,2.37000000E+08,B,7.42070500,16.60351350,3,5,
Al,2,137.12415000,5.83000000E+07,C+,7.42070500,16.46245240,3,1,
Al,2,153.98329000,6.70000000E+08,B+,7.42070500,15.47250000,3,5,
Al,2,162.56276000,1.31000000E+08,C+,7.42070500,15.04755610,3,1,
Al,2,167.07874000,1.41000000E+09,A+,0.00000000,7.42070500,1,3,
Al,2,171.94420000,6.55000000E+08,A,4.63614500,11.84686900,1,3,
Al,2,172.12440000,4.93000000E+08,A,4.64369300,11.84686900,3,3,
